epoch,pair,trades,wins,losses,win_rate,net_pips,avg_pips,epsilon,mean_loss
19,GBPJPY,33,18,15,54.5,765.0,23.18,0.499,13.2829
19,AUDUSD,22,8,14,36.4,16.4,0.75,0.497,13.4968
19,USDCAD,18,10,8,55.6,308.9,17.16,0.496,13.0096
19,XAUUSD,137,25,112,18.2,-1200.0,-8.76,0.48,13.0734
20,EURUSD,17,8,9,47.1,155.7,9.16,0.477,13.3893
20,GBPUSD,28,11,17,39.3,193.1,6.9,0.474,13.3268
20,USDJPY,28,10,18,35.7,-28.5,-1.02,0.472,13.1334
20,GBPJPY,37,19,18,51.4,682.5,18.45,0.469,13.2559
20,AUDUSD,20,9,11,45.0,158.0,7.9,0.468,14.1436
20,USDCAD,16,7,9,43.8,277.3,17.33,0.467,13.5928
20,XAUUSD,138,24,114,17.4,-1350.0,-9.78,0.45,13.3396
